,DATASET,SEASON,irr-avg,solar_azimuth,solar_zenith
0,2017B-1,2017B,1.1050235124911407,224.99512921617733,38.603614940510184
1,2017B-2,2017B,1.241126668302876,141.85971880711332,34.44053001347255
2,2017B-3,2017B,0.7231991628838635,236.42895070053436,51.4705630219082
3,2017B-4,2017B,0.6196148879096185,238.3785626886921,55.01485208145109
4,2018B-1,2018B,1.0473226576441863,136.08294416140208,37.08514542357073
5,2019A-1,2019A,1.148854851597622,45.30234483031306,27.84218566878391
6,2019A-2,2019A,0.9186942348689662,297.26040018591806,48.73853573504153
7,2019A-3,2019A,0.7800526645771657,43.77664743311645,27.355650546469835
8,2019A-4,2019A,0.8409045616005404,46.50415888491158,29.464293503402406
9,2019B-1,2019B,0.9237464423979482,223.84605156352373,37.61999551212889
10,2019B-2,2019B,0.4979397639309161,139.24911097832236,35.744623249427576
11,2019B-3,2019B,1.1749414734543564,150.81259261174998,30.689503326370186
